listingType,sellingState,hoursToSale,totalSale,releaseYear,processorSpeed,Cores,Memory,storageType
FixedPrice,EndedWithSales,7.3,223.85,2014,1.4,2,4,1
FixedPrice,EndedWithSales,57.3,600,2014,3,2,16,2
StoreInventory,EndedWithSales,6.9,242.49,2014,2.6,2,8,2
StoreInventory,EndedWithSales,7.3,242.49,2014,2.6,2,8,2
StoreInventory,EndedWithSales,8.7,192.99,2012,2.5,2,4,1
Auction,EndedWithSales,240,287.99,2012,2.5,2,4,1
FixedPrice,EndedWithSales,148.4,275,2014,1.4,2,4,1
StoreInventory,EndedWithSales,78.5,249.95,2014,1.4,2,4,1
Auction,EndedWithoutSales,168,349.99,2014,2.6,2,16,1
Auction,EndedWithSales,168,278.04,2014,2.6,2,8,1
StoreInventory,EndedWithSales,4.7,242.49,2014,2.6,2,8,2
StoreInventory,EndedWithSales,625,220.15,2014,1.4,2,4,1
StoreInventory,EndedWithSales,3.7,286.99,2014,2.6,2,8,2
FixedPrice,EndedWithSales,265.7,1663.95,2018,3.2,4,32,2
StoreInventory,EndedWithSales,90.9,1083.45,2018,3,4,32,2
FixedPrice,EndedWithSales,213.4,650,2018,3.6,4,8,2
StoreInventory,EndedWithSales,164,765,2018,3.6,4,16,2
Auction,EndedWithSales,120,966.7,2018,3,4,16,2
StoreInventory,EndedWithSales,1,319.99,2014,2.6,2,8,2
StoreInventory,EndedWithSales,0.8,269.99,2014,2.6,2,8,2
StoreInventory,EndedWithSales,0.6,214.28,2014,1.4,2,4,1
StoreInventory,EndedWithSales,21.3,220,2012,2.5,2,4,1
StoreInventory,EndedWithSales,0.3,249.99,2014,2.6,2,8,2
FixedPrice,EndedWithSales,0.3,1099.95,2018,3.2,4,16,2
Auction,EndedWithSales,120,613.95,2018,3.6,4,8,2
StoreInventory,EndedWithSales,226.5,1092.5,2018,3,4,32,2
FixedPrice,EndedWithSales,8.3,264.4,2014,1.4,2,4,1
FixedPrice,EndedWithSales,144.4,449,2014,2.6,2,16,1
Auction,EndedWithSales,168,800,2018,3,4,8,2
Auction,EndedWithSales,0.5,25,2014,2.5,2,4,1
Auction,EndedWithSales,168,217.86,2014,1.4,2,4,1
StoreInventory,EndedWithSales,3.2,220,2012,2.5,2,4,1
StoreInventory,EndedWithSales,9109.3,484.06,2014,1.4,2,4,2
Auction,EndedWithSales,168,429.2,2012,2.6,4,4,1
FixedPrice,EndedWithSales,453.1,249.99,2012,2.6,4,8,1
StoreInventory,EndedWithSales,4.3,220,2012,2.5,2,4,1
Auction,EndedWithSales,120,401.96,2014,1.4,2,4,1
Auction,EndedWithSales,168,256.45,2014,2.6,2,8,1
StoreInventory,EndedWithSales,13.7,220,2012,2.5,2,4,1
FixedPrice,EndedWithSales,30.6,389.99,2014,2.6,2,16,2
StoreInventory,EndedWithSales,9.8,276.99,2012,2.5,2,16,3
FixedPrice,EndedWithSales,0.3,179.99,2014,1.4,2,4,1
Auction,EndedWithSales,168,339.99,2014,2.6,2,8,1
FixedPrice,EndedWithSales,0.8,550,2014,3,2,16,3
FixedPrice,EndedWithSales,46,299.99,2014,2.6,2,8,2
StoreInventory,EndedWithSales,18.5,220,2012,2.5,2,4,1
Auction,EndedWithSales,240,190,2014,1.6,2,4,1
Auction,EndedWithSales,49.1,180,2014,1.4,2,4,1
FixedPrice,EndedWithSales,2.3,339,2014,2.5,2,16,3
Auction,EndedWithSales,240,622.23,2018,3.6,4,8,2
Auction,EndedWithSales,168,217.2,2014,2.5,2,4,1
FixedPrice,EndedWithSales,20.1,513.94,2018,3.6,4,8,2
Auction,EndedWithSales,168,140.5,2012,2.3,4,8,1
Auction,EndedWithSales,120,131.5,2014,1.4,2,4,1
StoreInventory,EndedWithSales,11.3,603.9,2014,3,2,16,2
StoreInventory,EndedWithSales,585.5,1106.75,2018,3,4,32,2
Auction,EndedWithSales,168,622.97,2018,3.6,4,8,2
FixedPrice,EndedWithSales,336.3,669.99,2014,1.4,2,4,1
FixedPrice,EndedWithSales,65.2,299.99,2014,2.6,2,8,2
FixedPrice,EndedWithSales,0,231.7,2012,2.5,2,4,1
Auction,EndedWithSales,168,153.49,2014,2.5,2,4,1
FixedPrice,EndedWithSales,41.2,244.35,2014,1.4,2,4,1
FixedPrice,EndedWithSales,0,599,2018,3,4,8,2
Auction,EndedWithSales,47.5,180,2014,1.4,2,4,1
FixedPrice,EndedWithSales,0.6,265.95,2014,2.3,2,8,2
StoreInventory,EndedWithSales,35.6,375,2012,2.3,4,4,1
Auction,EndedWithSales,72,232.5,2014,2.6,2,8,1
StoreInventory,EndedWithSales,217.8,603.9,2014,3,2,16,2
StoreInventory,EndedWithSales,8.7,494.95,2014,3,2,16,3
Auction,EndedWithSales,120,285,2014,1.4,2,4,2
FixedPrice,EndedWithoutSales,710.5,1061.37,2018,3,4,32,2
Auction,EndedWithSales,168,238,2014,1.4,2,4,1
StoreInventory,EndedWithSales,181.8,1519.05,2018,3.2,4,64,2
FixedPrice,EndedWithSales,9.2,849.99,2018,3.6,4,64,2
Auction,EndedWithSales,80.3,823.15,2018,3,4,8,2
StoreInventory,EndedWithSales,702.5,238,2014,1.4,2,4,1
Auction,EndedWithSales,0.9,310,2012,2.3,4,4,1
StoreInventory,EndedWithSales,2183.8,859,2018,3.6,4,32,2
FixedPrice,EndedWithSales,0.7,272.25,2014,2.6,2,8,1
StoreInventory,EndedWithSales,1269.6,295,2012,2.5,2,8,1
StoreInventory,EndedWithSales,334.7,465,2014,2.6,2,16,1
FixedPrice,EndedWithSales,162.5,231.65,2014,1.4,2,4,1
Auction,EndedWithSales,168,386,2014,2.6,2,16,2
Auction,EndedWithSales,168,345.91,2012,2.3,4,8,1
Auction,EndedWithSales,168,337.91,2012,2.3,4,8,1
Auction,EndedWithSales,168,327.91,2012,2.3,4,8,1
Auction,EndedWithSales,168,345.91,2012,2.3,4,8,1
FixedPrice,EndedWithSales,15.1,259.2,2014,2.6,2,8,2
StoreInventory,EndedWithSales,146,1385,2018,3,4,32,2
FixedPrice,EndedWithSales,21,637,2018,3.6,4,8,2
FixedPrice,EndedWithSales,0.3,233.1,2012,2.3,4,4,1
StoreInventory,EndedWithSales,80.4,220,2012,2.5,2,4,1
FixedPrice,EndedWithSales,8.6,299.99,2014,2.6,2,8,2
StoreInventory,EndedWithSales,1281.9,391,2014,2.6,2,8,1
FixedPrice,EndedWithSales,2.2,285.95,2014,2.3,2,8,2
StoreInventory,EndedWithSales,6215.6,394.99,2014,1.4,2,4,2
Auction,EndedWithSales,168,210.51,2014,1.4,2,4,1
Auction,EndedWithSales,168,440.13,2018,3,4,8,2
Auction,EndedWithSales,168,166.48,2014,2.6,2,8,1
StoreInventory,EndedWithSales,3296.6,451.05,2014,2.6,2,8,4
Auction,EndedWithSales,120,235,2012,2.5,2,4,1
StoreInventory,EndedWithSales,167.4,765,2018,3.6,4,16,2
Auction,EndedWithSales,120,257,2012,2.3,4,8,1
Auction,EndedWithSales,120,155.74,2012,2.5,2,4,1
Auction,EndedWithSales,120,155.97,2012,2.5,2,4,1
Auction,EndedWithSales,120,153.01,2012,2.5,2,4,1
Auction,EndedWithSales,120,153.5,2012,2.5,2,4,1
Auction,EndedWithSales,120,132.5,2012,2.5,2,4,1
Auction,EndedWithSales,72,549.17,2018,3.6,4,8,2
FixedPrice,EndedWithSales,25.1,445,2014,3,2,16,3
FixedPrice,EndedWithSales,41.6,299.99,2014,2.6,2,8,2
StoreInventory,EndedWithSales,9115.2,535,2012,2.5,2,16,2
FixedPrice,EndedWithSales,1,264.4,2014,1.4,2,4,1
StoreInventory,EndedWithSales,289,249.99,2012,2.5,2,10,1
Auction,EndedWithSales,120,660,2018,3.6,4,8,2
StoreInventory,EndedWithSales,98.4,319,2014,2.6,2,8,1
Auction,EndedWithSales,168,349,2014,2.8,2,8,1
Auction,EndedWithSales,168,216.74,2014,2.5,2,4,1
Auction,EndedWithSales,168,833.01,2018,3,4,8,2
FixedPrice,EndedWithSales,122.7,446.95,2014,3,2,4,1
Auction,EndedWithSales,168,315,2012,2.3,4,16,1
FixedPrice,EndedWithSales,70.7,825,2018,3,4,8,2
FixedPrice,EndedWithSales,1.5,350,2014,2.6,2,16,1
Auction,EndedWithSales,168,132.11,2014,1.4,2,4,1
StoreInventory,EndedWithoutSales,1776.3,679,2014,3,2,16,2
Auction,EndedWithSales,165.5,280,2014,1.4,2,4,1
StoreInventory,EndedWithSales,51.9,1363.25,2018,3.2,4,64,2
StoreInventory,EndedWithSales,7870.5,304.04,2014,1.4,2,4,2
StoreInventory,EndedWithSales,117.9,186.99,2014,2.5,2,4,1
Auction,EndedWithSales,120,386,2014,1.4,2,4,1
Auction,EndedWithSales,120,1625,2018,3.2,4,32,2
FixedPrice,EndedWithSales,1.1,469,2012,2.6,4,16,2
Auction,EndedWithSales,120,363,2012,2.3,4,8,2
Auction,EndedWithSales,168,371.55,2012,2.3,4,8,1
Auction,EndedWithSales,168,217.49,2014,1.4,2,4,1
StoreInventory,EndedWithSales,8780.7,497.2,2014,2.6,2,16,2
Auction,EndedWithSales,168,183.75,2014,1.4,2,4,1
FixedPrice,EndedWithSales,17.6,1420.07,2018,3.2,4,32,2
Auction,EndedWithSales,168,198.75,2014,2.5,2,4,1
Auction,EndedWithSales,168,92.99,2014,1.4,2,4,1
FixedPrice,EndedWithSales,75.2,199,2014,2.5,2,4,1
Auction,EndedWithSales,120,323,2012,2.3,4,4,1
StoreInventory,EndedWithSales,93.4,220,2012,2.5,2,4,1
FixedPrice,EndedWithoutSales,1604.3,614,2014,3,2,16,1
FixedPrice,EndedWithoutSales,3396.7,347.49,2014,1.4,2,4,1
FixedPrice,EndedWithSales,126.5,299.99,2014,2.6,2,8,2
StoreInventory,EndedWithSales,4147.4,497.2,2014,2.6,2,8,2
Auction,EndedWithSales,168,533.16,2018,3.6,4,8,2
Auction,EndedWithSales,168,206.05,2012,2.5,2,8,1
Auction,EndedWithSales,168,355,2012,2.3,4,16,1
StoreInventory,EndedWithSales,1524.8,569.99,2012,2.3,4,16,2
Auction,EndedWithSales,120,210,2014,1.6,2,4,3
StoreInventory,EndedWithSales,3.1,299.99,2012,2.6,4,8,2
Auction,EndedWithSales,120,202.55,2012,2.5,2,4,1
FixedPrice,EndedWithSales,64.8,459.99,2014,3,2,8,3
FixedPrice,EndedWithSales,387.4,290.05,2014,1.4,2,4,1
Auction,EndedWithSales,168,1466,2018,3.2,4,64,2
FixedPrice,EndedWithSales,75.7,600,2018,3.6,4,8,2
StoreInventory,EndedWithSales,2711.1,350,2014,2.6,2,8,1
FixedPrice,EndedWithSales,429.6,264.99,2014,2.5,2,4,1
Auction,EndedWithSales,72,574.95,2018,3.6,4,8,2
Auction,EndedWithSales,26.8,222.5,2014,1.6,2,16,1
Auction,EndedWithSales,168,289.75,2014,2.6,2,8,1
Auction,EndedWithSales,168,320.7,2014,2.6,2,8,1
StoreInventory,EndedWithSales,21.8,209.19,2014,1.4,2,16,1
Auction,EndedWithSales,7.1,158.4,2012,2.5,2,8,2
FixedPrice,EndedWithSales,801.9,257,2014,1.4,2,4,1
StoreInventory,EndedWithSales,368.1,341.25,2014,2.6,2,8,1
Auction,EndedWithSales,120,355,2014,2.6,2,16,1
StoreInventory,EndedWithSales,620.5,249.99,2014,1.4,2,4,1
Auction,EndedWithSales,120,302,2014,2.6,2,8,1
Auction,EndedWithSales,168,298.7,2012,2.3,4,4,1
Auction,EndedWithSales,168,593.15,2018,3.6,4,8,2
Auction,EndedWithSales,120,370,2014,1.4,2,4,1
FixedPrice,EndedWithSales,0.1,820,2018,3,4,8,2
Auction,EndedWithSales,126.4,313.95,2012,2.5,2,4,1
Auction,EndedWithSales,120,370,2014,1.4,2,4,1
Auction,EndedWithSales,120,385,2014,1.4,2,4,1
Auction,EndedWithSales,120,375,2014,1.4,2,4,1
StoreInventory,EndedWithSales,24.3,204.99,2012,2.5,2,4,1
Auction,EndedWithSales,0.1,650,2018,3,4,8,2
StoreInventory,EndedWithSales,1.9,209.99,2014,1.4,2,4,1
FixedPrice,EndedWithSales,0.3,325,2012,2.6,4,8,2
FixedPrice,EndedWithSales,24.6,209.99,2014,1.4,2,4,1
StoreInventory,EndedWithSales,0.5,300,2012,2.3,4,8,1
Auction,EndedWithSales,168,1499.79,2018,3.2,4,64,2
StoreInventory,EndedWithSales,144.1,603.9,2014,3,2,16,2
StoreInventory,EndedWithSales,5.8,204.99,2012,2.5,2,4,1
StoreInventory,EndedWithSales,72.8,711.45,2018,3.6,4,16,2
StoreInventory,EndedWithSales,103.6,1150,2018,3,4,32,2
FixedPrice,EndedWithSales,3.4,186.4,2014,1.4,2,16,1
FixedPrice,EndedWithSales,0.8,614,2014,3,2,16,2
FixedPrice,EndedWithSales,599.1,111.46,2014,2.6,2,8,1
Auction,EndedWithSales,120,319.55,2014,2.6,2,8,1
Auction,EndedWithSales,0.1,126.99,2014,2.5,2,4,1
StoreInventory,EndedWithSales,18.8,220,2012,2.5,2,4,1
FixedPrice,EndedWithSales,18.5,210.01,2012,2.5,2,4,1
StoreInventory,EndedWithSales,0.1,324.99,2012,2.6,4,16,1
Auction,EndedWithSales,25.7,325,2014,2.6,2,8,2
Auction,EndedWithSales,0,111.98,2014,2.5,2,4,1
FixedPrice,EndedWithSales,3424.8,417.35,2012,2.5,2,8,3
FixedPrice,EndedWithSales,1.1,201.7,2014,2.5,2,4,1
FixedPrice,EndedWithSales,973.6,349.9,2014,2.6,2,8,1
StoreInventory,EndedWithSales,8,209.19,2014,1.4,2,16,1
Auction,EndedWithSales,72,490.2,2014,2.8,2,16,2
FixedPrice,EndedWithSales,31.4,350,2012,2.3,4,16,1
FixedPrice,EndedWithSales,29.9,209.99,2014,1.4,2,4,1
StoreInventory,EndedWithSales,3.4,279.99,2014,2.6,2,8,1
Auction,EndedWithSales,3.9,375,2012,2.3,4,16,2
Auction,EndedWithSales,168,406.02,2014,2.6,2,16,2
FixedPrice,EndedWithSales,120.7,374.99,2012,2.5,2,16,2
Auction,EndedWithSales,168,81,2014,2.6,2,8,1
Auction,EndedWithSales,168,343.15,2014,2.6,2,8,1
StoreInventory,EndedWithSales,1.2,250,2014,2.6,2,8,1
FixedPrice,EndedWithSales,259.2,224.99,2014,1.4,2,4,1
StoreInventory,EndedWithSales,240.3,464.07,2012,2.6,4,16,4
Auction,EndedWithSales,72,335,2014,1.4,2,4,1
StoreInventory,EndedWithSales,142.1,220,2012,2.5,2,4,1
FixedPrice,EndedWithSales,51.1,252,2012,2.5,2,8,2
FixedPrice,EndedWithSales,206.5,849.95,2018,3,4,8,2
Auction,EndedWithSales,120,369,2014,1.4,2,4,1
Auction,EndedWithSales,168,236.54,2014,2.6,2,8,1
Auction,EndedWithSales,168,331.2,2018,3,4,8,2
Auction,EndedWithSales,168,877.9,2018,3,4,32,2
Auction,EndedWithSales,168,203.5,2014,1.4,2,4,1
Auction,EndedWithSales,21.9,600,2018,3.6,4,32,2
Auction,EndedWithSales,168,204.95,2012,2.5,2,4,1
Auction,EndedWithSales,168,1591,2018,3.2,4,64,2
FixedPrice,EndedWithSales,656.5,212.55,2014,1.4,2,4,1
Auction,EndedWithSales,168,360.2,2012,2.6,4,4,1
FixedPrice,EndedWithSales,1.1,299.99,2014,2.6,2,8,2
FixedPrice,EndedWithSales,59.7,209.2,2014,2.6,2,8,1
StoreInventory,EndedWithSales,31.8,265.99,2014,1.4,2,16,1
Auction,EndedWithSales,168,469.2,2014,2.6,2,8,2
StoreInventory,EndedWithSales,389.4,1600.75,2018,3.2,4,32,2
FixedPrice,EndedWithSales,217.2,368,2014,1.6,2,16,1
FixedPrice,EndedWithSales,3.3,220,2014,1.4,2,4,1
StoreInventory,EndedWithSales,218.4,730.05,2018,3.6,4,32,2
FixedPrice,EndedWithSales,98.6,375,2014,2.6,2,8,1
FixedPrice,EndedWithSales,210.4,474.99,2014,3,2,8,3
Auction,EndedWithSales,240,152.49,2014,1.4,2,4,1
FixedPrice,EndedWithSales,14.9,209.99,2014,1.4,2,4,1
FixedPrice,EndedWithSales,97.2,418.98,2014,1.4,2,4,1
StoreInventory,EndedWithSales,1291.1,368,2014,2.6,2,8,1
Auction,EndedWithSales,17.9,52.8,2014,2.6,2,8,1
FixedPrice,EndedWithSales,32.1,395.69,2014,3,2,8,2
StoreInventory,EndedWithSales,16.6,199,2012,2.3,4,8,2
Auction,EndedWithSales,168,237.5,2014,2.6,2,8,1
Auction,EndedWithSales,168,235.5,2014,2.6,2,8,1
Auction,EndedWithSales,168,245.5,2014,2.6,2,8,1
StoreInventory,EndedWithSales,11.8,159,2012,2.3,4,4,1
StoreInventory,EndedWithSales,11.2,209.99,2014,1.4,2,4,1
StoreInventory,EndedWithSales,4.2,169,2012,2.3,4,8,1
FixedPrice,EndedWithSales,92,209.99,2014,1.4,2,4,1
Auction,EndedWithSales,144.3,1518.65,2018,3,4,64,2
FixedPrice,EndedWithSales,626.5,229.55,2014,1.4,2,4,1
Auction,EndedWithSales,168,186.55,2014,1.4,2,16,1
FixedPrice,EndedWithSales,12.3,304.39,2012,2.3,4,8,1
Auction,EndedWithSales,168,190.5,2014,1.4,2,4,2
FixedPrice,EndedWithSales,3.3,311.7,2014,2.6,2,8,1
FixedPrice,EndedWithSales,9.4,204.39,2012,2.5,2,8,1
StoreInventory,EndedWithSales,210.1,1065,2018,3,4,32,2
FixedPrice,EndedWithSales,8,274.39,2012,2.3,4,4,1
FixedPrice,EndedWithSales,298.8,235.19,2014,1.4,2,4,1
StoreInventory,EndedWithSales,926.6,311.95,2014,3,2,16,2
StoreInventory,EndedWithSales,868,221,2014,1.4,2,4,1
StoreInventory,EndedWithSales,83,379.25,2012,2.3,4,8,1
Auction,EndedWithSales,168,574.15,2018,3.6,4,8,2
Auction,EndedWithSales,168,202.55,2014,1.4,2,4,1
FixedPrice,EndedWithSales,102,231.55,2014,1.4,2,4,1
FixedPrice,EndedWithSales,268.8,285,2012,2.5,2,16,3
StoreInventory,EndedWithSales,0.9,113.95,2014,2.6,2,8,2
FixedPrice,EndedWithSales,147.5,299.99,2014,2.6,2,8,2
Auction,EndedWithSales,168,214.57,2014,1.4,2,4,1
StoreInventory,EndedWithSales,1553.3,341.99,2014,1.4,2,4,4
Auction,EndedWithSales,168,184.04,2014,2.5,2,4,1
FixedPrice,EndedWithSales,23.8,1865.39,2018,3.2,4,64,2
StoreInventory,EndedWithSales,199.2,1125.75,2018,3,4,32,2
Auction,EndedWithSales,120,396.99,2014,1.4,2,4,1
Auction,EndedWithSales,120,390,2014,1.4,2,4,1
StoreInventory,EndedWithSales,465,209,2014,1.4,2,4,1
Auction,EndedWithSales,168,1492,2018,3.2,4,64,2
Auction,EndedWithSales,120,401.63,2014,1.4,2,4,1
Auction,EndedWithSales,168,785,2018,3,4,8,2
FixedPrice,EndedWithSales,2.8,360.6,2012,2.3,4,16,1
Auction,EndedWithSales,120,485,2014,1.4,2,4,1
StoreInventory,EndedWithSales,2.3,250,2014,1.4,2,4,1
StoreInventory,EndedWithSales,8948.4,1082.05,2012,2.3,4,16,2
StoreInventory,EndedWithSales,1194.1,318.99,2014,1.4,2,4,2
StoreInventory,EndedWithSales,1.4,419.98,2014,1.4,2,4,1
StoreInventory,EndedWithSales,163.4,199.99,2012,2.5,2,4,1
StoreInventory,EndedWithSales,812.1,219,2014,1.4,2,4,1
Auction,EndedWithSales,168,800.08,2018,3.6,4,8,2
Auction,EndedWithSales,0.9,517.25,2018,3.6,4,8,2
FixedPrice,EndedWithSales,346.4,416,2012,2.3,4,4,1
StoreInventory,EndedWithSales,105,1670,2018,3.2,4,32,2
FixedPrice,EndedWithSales,467.5,399.99,2012,2.5,2,16,2
StoreInventory,EndedWithSales,26.1,1739,2018,3.2,4,64,2
StoreInventory,EndedWithSales,1025.4,569.05,2012,2.3,4,16,2
StoreInventory,EndedWithSales,3.7,799,2018,3,4,8,2
StoreInventory,EndedWithSales,523.8,599,2012,2.3,4,16,4
StoreInventory,EndedWithSales,107.1,799,2018,3,4,8,2
Auction,EndedWithSales,168,350.05,2012,2.5,2,16,1
StoreInventory,EndedWithSales,16.1,198,2014,1.4,2,4,1
StoreInventory,EndedWithSales,21.5,209.99,2014,1.4,2,4,1
StoreInventory,EndedWithSales,779.3,255,2012,2.5,2,4,1
StoreInventory,EndedWithSales,602.6,1125.75,2018,3,4,64,2
Auction,EndedWithSales,72,195.5,2014,1.4,2,4,1
FixedPrice,EndedWithSales,2.4,275,2012,2.5,2,4,1
FixedPrice,EndedWithSales,647.6,249.99,2014,1.4,2,4,1
StoreInventory,EndedWithSales,122.2,220,2012,2.5,2,4,1
FixedPrice,EndedWithSales,20.4,199,2014,1.4,2,4,1
Auction,EndedWithSales,240,421.55,2012,2.3,4,16,3
StoreInventory,EndedWithSales,85.1,759.05,2018,3.6,4,16,2
StoreInventory,EndedWithSales,1281.7,304.04,2014,1.4,2,4,4
FixedPrice,EndedWithSales,8,209.2,2012,2.6,4,12,1
FixedPrice,EndedWithSales,31.3,375.7,2012,2.3,4,8,2
Auction,EndedWithSales,120,395,2014,1.4,2,4,1
Auction,EndedWithSales,120,395,2014,1.4,2,4,1
Auction,EndedWithSales,120,391,2014,1.4,2,4,1
Auction,EndedWithSales,120,395,2014,1.4,2,4,1
Auction,EndedWithSales,120,395,2014,1.4,2,4,1
FixedPrice,EndedWithSales,73.2,199,2012,2.5,2,12,3
StoreInventory,EndedWithSales,1759.2,1744,2018,3.2,4,64,2
StoreInventory,EndedWithSales,10.3,214.5,2014,2.6,2,8,1
FixedPrice,EndedWithSales,76.4,299,2012,2.6,4,8,1
Auction,EndedWithSales,0,325,2014,3,2,8,3
Auction,EndedWithSales,120,251,2014,2.6,2,8,1
Auction,EndedWithSales,120,253,2014,2.6,2,8,1
Auction,EndedWithSales,168,336.3,2012,2.3,4,4,1
Auction,EndedWithSales,0.4,165.05,2014,1.4,2,4,1
FixedPrice,EndedWithSales,284.1,400,2014,2.6,2,16,2
Auction,EndedWithSales,120,227.5,2014,1.4,2,4,2
FixedPrice,EndedWithSales,209.4,1000,2018,3.6,4,8,2
StoreInventory,EndedWithSales,548.1,308,2012,2.5,2,16,2
Auction,EndedWithSales,155.9,249.5,2014,2.6,2,8,1
Auction,EndedWithSales,120,420,2014,1.4,2,4,1
StoreInventory,EndedWithSales,48.5,1599,2018,3.2,4,64,2
FixedPrice,EndedWithSales,154,215,2014,2.5,2,4,1
FixedPrice,EndedWithSales,2.8,274.95,2014,2.5,2,4,1
Auction,EndedWithSales,168,405.85,2012,2.3,4,16,2
FixedPrice,EndedWithSales,28.2,211.95,2014,1.4,2,4,1
Auction,EndedWithSales,168,2635,2018,3.6,4,64,2
Auction,EndedWithSales,120,269.35,2014,2.5,2,4,1
Auction,EndedWithSales,168,281.55,2014,2.6,2,8,1
Auction,EndedWithSales,120,340.3,2012,2.6,4,4,1
Auction,EndedWithSales,120,400,2014,3,2,16,1
FixedPrice,EndedWithSales,41,219,2012,2.5,2,8,1
Auction,EndedWithSales,168,150.3,2014,2.6,2,8,1
FixedPrice,EndedWithSales,40.6,299.99,2014,2.6,2,8,2
StoreInventory,EndedWithSales,20.2,222.95,2014,1.4,2,4,1
StoreInventory,EndedWithSales,8084.5,604.5,2012,2.3,4,16,2
Auction,EndedWithSales,120,379,2014,1.4,2,4,1
FixedPrice,EndedWithSales,817.7,235.64,2012,2.5,2,4,1
FixedPrice,EndedWithSales,348.3,319,2014,1.4,2,16,1
Auction,EndedWithSales,72,335,2014,3,2,8,3
Auction,EndedWithSales,120,379,2014,1.4,2,4,1
FixedPrice,EndedWithSales,99,1385,2018,3.2,4,64,2
FixedPrice,EndedWithSales,193,215,2014,1.4,2,4,1
StoreInventory,EndedWithSales,328.5,209.19,2014,1.4,2,16,1
StoreInventory,EndedWithSales,331.3,285.45,2012,2.5,2,8,2
StoreInventory,EndedWithSales,1050.1,775,2018,3.6,4,16,2
Auction,EndedWithSales,168,361.55,2012,2.3,4,8,1
StoreInventory,EndedWithSales,58.7,335,2012,2.5,2,16,1
StoreInventory,EndedWithSales,1518.1,1875,2018,3.2,4,64,2
Auction,EndedWithSales,4,872,2018,3.2,4,32,2
FixedPrice,EndedWithSales,433.9,299,2012,2.5,2,12,3
StoreInventory,EndedWithSales,2038,962.55,2018,3.6,4,64,2
StoreInventory,EndedWithSales,115.8,395.25,2012,2.5,2,16,1
StoreInventory,EndedWithSales,1704.4,1785,2018,3.2,4,64,2
StoreInventory,EndedWithSales,3.7,639,2018,3.6,4,8,2
Auction,EndedWithSales,120,299.2,2014,1.4,2,4,1
FixedPrice,EndedWithSales,18.2,299.99,2014,2.6,2,8,2
StoreInventory,EndedWithSales,27.1,220,2012,2.5,2,4,1
Auction,EndedWithSales,17.9,101.4,2014,2.5,2,4,1
StoreInventory,EndedWithSales,29.9,1410.75,2018,3.2,4,64,2
Auction,EndedWithSales,120,575,2018,3.6,4,8,2
StoreInventory,EndedWithSales,84.6,1185,2018,3,4,32,2
Auction,EndedWithSales,120,232.5,2014,1.4,2,4,1
Auction,EndedWithSales,168,186.7,2012,2.5,2,4,1
FixedPrice,EndedWithSales,29.6,450,2014,3,2,8,3
FixedPrice,EndedWithSales,111.1,784,2014,3,2,16,2
FixedPrice,EndedWithSales,0.4,199,2012,2.5,2,4,1
Auction,EndedWithSales,240,259.05,2012,2.5,2,16,2
StoreInventory,EndedWithSales,501.3,239,2014,1.4,2,4,1
FixedPrice,EndedWithSales,268.9,210.61,2014,1.4,2,4,1
FixedPrice,EndedWithSales,149.6,204.2,2014,1.4,2,4,1
StoreInventory,EndedWithSales,88.4,1709.05,2018,3.2,4,64,2
Auction,EndedWithSales,168,188.45,2012,2.5,2,4,1
FixedPrice,EndedWithSales,44.3,299.99,2014,2.6,2,8,2
FixedPrice,EndedWithSales,652.2,499.99,2014,3,2,8,4
StoreInventory,EndedWithSales,126.3,220,2012,2.5,2,4,1
Auction,EndedWithSales,168,492.9,2018,3.6,4,8,2
Auction,EndedWithSales,168,430,2014,3,2,16,1
Auction,EndedWithSales,100.9,599,2018,3.6,4,8,2
StoreInventory,EndedWithSales,1556.9,499,2012,2.5,2,16,4
Auction,EndedWithSales,168,168.45,2012,2.5,2,4,1
Auction,EndedWithSales,120,376.99,2014,1.4,2,4,1
StoreInventory,EndedWithSales,0.8,599.99,2018,3.6,4,8,2
Auction,EndedWithSales,23.3,198.4,2014,2.5,2,4,1
Auction,EndedWithSales,168,614.55,2018,3.6,4,8,2
Auction,EndedWithSales,120,380,2014,1.4,2,4,1
FixedPrice,EndedWithSales,189.6,699,2018,3.6,4,32,2
Auction,EndedWithSales,168,420.13,2018,3.6,4,8,2
Auction,EndedWithSales,168,210.95,2012,2.5,2,4,1
FixedPrice,EndedWithSales,144.7,228.92,2014,2.5,2,4,1
StoreInventory,EndedWithSales,68,1357,2018,3.2,4,16,2
Auction,EndedWithSales,168,261.9,2014,2.6,2,8,1
FixedPrice,EndedWithSales,1.4,260.2,2014,2.6,2,8,1
StoreInventory,EndedWithSales,3934.2,699,2014,3,2,8,2
FixedPrice,EndedWithSales,109.6,375,2014,2.6,2,8,1
Auction,EndedWithSales,168,419.65,2012,2.3,4,8,1
Auction,EndedWithSales,168,286.7,2014,2.6,2,8,1
Auction,EndedWithSales,240,550.14,2014,3,2,16,3
Auction,EndedWithSales,120,297,2014,2.5,2,4,1
FixedPrice,EndedWithSales,165.6,209.99,2014,1.4,2,4,1
FixedPrice,EndedWithSales,23.5,230.7,2014,1.4,2,4,1
Auction,EndedWithSales,120,251.35,2014,2.5,2,4,1
StoreInventory,EndedWithSales,261.7,1614.05,2018,3.2,4,32,2
Auction,EndedWithSales,120,367.55,2014,1.4,2,4,1
Auction,EndedWithSales,120,373,2014,1.4,2,4,1
