listingType,sellingState,hoursToSale,totalSale,releaseYear,processorSpeed,Cores,Memory,storageType
FixedPrice,EndedWithSales,0.1,399,2012,2.3,4,4,1
FixedPrice,EndedWithoutSales,77.1,295.99,2014,1.4,2,4,1
FixedPrice,EndedWithSales,65.5,254.05,2014,1.4,2,4,1
StoreInventory,EndedWithSales,643.4,536.75,2014,2.6,2,16,2
StoreInventory,EndedWithSales,71.3,1699,2018,3.2,4,64,2
FixedPrice,EndedWithSales,27.6,374.95,2014,2.5,2,4,1
Auction,EndedWithSales,168,252.27,2014,2.5,2,4,1
StoreInventory,EndedWithSales,16.1,1085,2018,3,4,16,2
FixedPrice,EndedWithSales,5.3,311.95,2014,2.6,2,8,1
FixedPrice,EndedWithSales,3.9,386.98,2012,2.5,2,16,2
Auction,EndedWithSales,120,460.01,2014,1.4,2,4,1
StoreInventory,EndedWithSales,6.3,426.95,2012,2.3,4,4,1
FixedPrice,EndedWithSales,1,236.49,2014,1.4,2,8,2
FixedPrice,EndedWithoutSales,2903.9,544,2014,3,2,16,2
StoreInventory,EndedWithSales,1074.9,735,2014,3,2,16,2
Auction,EndedWithSales,168,209.15,2014,1.4,2,4,1
FixedPrice,EndedWithoutSales,2014.8,514,2014,2.6,2,8,2
StoreInventory,EndedWithoutSales,8086.8,440,2012,2.5,2,4,1
StoreInventory,EndedWithoutSales,1594.4,259,2012,2.5,2,4,1
FixedPrice,EndedWithSales,61.7,365.05,2014,2.6,2,8,1
FixedPrice,EndedWithSales,5373.7,350,2014,2.6,2,8,1
FixedPrice,EndedWithSales,0.1,265.05,2014,2.6,2,8,1
StoreInventory,EndedWithSales,1294.8,1065,2018,3,4,16,2
StoreInventory,EndedWithSales,0.7,230,2014,1.4,2,4,1
StoreInventory,EndedWithSales,39.8,1165,2018,3,4,32,2
FixedPrice,EndedWithSales,0.3,311.95,2014,2.6,2,8,1
FixedPrice,EndedWithoutSales,2881.2,464,2014,2.6,2,8,1
Auction,EndedWithSales,120,306.25,2014,1.4,2,8,2
StoreInventory,EndedWithSales,1061,295.55,2014,1.4,2,4,1
FixedPrice,EndedWithSales,0.1,395.7,2014,3,2,8,2
StoreInventory,EndedWithSales,905.6,379.99,2014,1.4,2,4,1
Auction,EndedWithSales,168,400,2012,2.3,4,16,2
FixedPrice,EndedWithoutSales,1992.1,564,2012,2.3,4,4,1
Auction,EndedWithSales,2.4,289.2,2014,2.6,2,8,1
Auction,EndedWithSales,120,394,2014,2.5,2,4,1
StoreInventory,EndedWithSales,668.2,369,2014,2.6,2,8,1
Auction,EndedWithSales,168,320.7,2014,2.6,2,8,1
Auction,EndedWithSales,168,382.85,2012,2.3,4,4,1
FixedPrice,EndedWithSales,287,270,2014,2.5,2,4,1
StoreInventory,EndedWithSales,837.1,328.74,2014,1.4,2,4,2
StoreInventory,EndedWithSales,14.7,785,2018,3.6,4,16,2
StoreInventory,EndedWithSales,22.3,1285,2018,3,4,64,2
StoreInventory,EndedWithSales,9344.9,555.75,2014,2.6,2,8,2
Auction,EndedWithSales,168,306.01,2014,2.5,2,4,1
FixedPrice,EndedWithSales,28.8,549,2012,2.3,4,16,3
Auction,EndedWithSales,168,305.95,2014,2.6,2,8,1
FixedPrice,EndedWithSales,281.9,43.29,2012,2.3,4,4,1
FixedPrice,EndedWithSales,52.7,359.05,2014,2.6,2,8,2
Auction,EndedWithSales,120,222.5,2014,1.4,2,4,1
Auction,EndedWithSales,168,306.7,2014,2.5,2,4,1
Auction,EndedWithSales,168,510.05,2012,2.6,4,16,2
FixedPrice,EndedWithSales,10.3,225,2014,1.4,2,4,1
Auction,EndedWithSales,5.3,112.4,2014,2.5,2,4,1
FixedPrice,EndedWithSales,331.4,520,2012,2.3,4,16,4
FixedPrice,EndedWithSales,22.1,1175,2018,3,4,32,2
FixedPrice,EndedWithoutSales,2849.8,644,2014,3,2,16,2
StoreInventory,EndedWithSales,19,1150,2018,3,4,32,2
FixedPrice,EndedWithSales,140.8,1029.95,2018,3,4,8,2
Auction,EndedWithSales,12.1,250.55,2012,2.5,2,16,1
FixedPrice,EndedWithSales,44.1,814,2018,3.6,4,32,2
Auction,EndedWithSales,120,455,2014,2.5,2,4,1
Auction,EndedWithSales,168,246.05,2014,1.4,2,4,2
FixedPrice,EndedWithSales,2.5,222.55,2014,1.4,2,4,1
FixedPrice,EndedWithSales,250.2,288.99,2014,1.4,2,4,1
FixedPrice,EndedWithSales,317.8,242.54,2014,1.4,2,4,1
StoreInventory,EndedWithSales,1.7,220,2012,2.5,2,4,1
FixedPrice,EndedWithoutSales,3527.1,468.27,2014,2.6,2,8,1
StoreInventory,EndedWithSales,75.8,1150,2018,3,4,32,2
StoreInventory,EndedWithSales,956.4,425,2012,2.5,2,16,1
Auction,EndedWithSales,120,511,2014,2.5,2,4,1
Auction,EndedWithSales,0.1,351,2014,2.6,2,8,2
FixedPrice,EndedWithSales,14.5,349,2014,2.6,2,8,2
Auction,EndedWithSales,12,127.94,2014,1.4,2,4,1
Auction,EndedWithSales,20.3,180.2,2014,2.6,2,8,1
Auction,EndedWithSales,120,218.5,2014,1.4,2,4,1
FixedPrice,EndedWithSales,4.5,240,2014,1.4,2,4,1
StoreInventory,EndedWithoutSales,211.1,749,2014,3,2,16,2
Auction,EndedWithSales,120,290.22,2014,1.4,2,4,1
FixedPrice,EndedWithSales,8.5,249,2012,2.5,2,4,1
StoreInventory,EndedWithoutSales,9244.5,614,2012,2.5,2,16,2
FixedPrice,EndedWithSales,1.9,499,2014,3,2,16,2
Auction,EndedWithSales,168,221.54,2014,1.4,2,4,1
Auction,EndedWithoutSales,120,260.89,2014,1.4,2,4,1
Auction,EndedWithSales,120,218.6,2014,1.4,2,4,1
StoreInventory,EndedWithSales,1,220,2012,2.5,2,4,1
Auction,EndedWithSales,72,990,2018,3,4,16,2
Auction,EndedWithSales,168,909.4,2018,3,4,8,2
Auction,EndedWithSales,240,297,2014,2.6,2,8,1
Auction,EndedWithSales,168,1118.2,2018,3,4,8,2
FixedPrice,EndedWithSales,5807.9,360.93,2014,2.6,2,8,1
Auction,EndedWithoutSales,168,1015.7,2014,2.6,2,8,1
FixedPrice,EndedWithSales,4.8,365.7,2012,2.6,4,16,1
Auction,EndedWithSales,0,270.2,2014,2.5,2,4,1
FixedPrice,EndedWithSales,9,649.4,2012,2.6,4,16,2
FixedPrice,EndedWithSales,23.3,299.98,2012,2.5,2,8,2
Auction,EndedWithSales,120,216.05,2012,2.5,2,4,1
FixedPrice,EndedWithSales,1,384.99,2012,2.3,4,16,1
Auction,EndedWithSales,240,240.5,2014,2.6,2,8,1
Auction,EndedWithSales,120,210.5,2014,1.4,2,4,1
Auction,EndedWithSales,168,310,2012,2.5,2,8,3
Auction,EndedWithSales,0,194.2,2014,1.4,2,4,1
StoreInventory,EndedWithSales,788.5,299.99,2014,1.4,2,4,1
StoreInventory,EndedWithSales,48.8,255,2014,1.4,2,4,1
Auction,EndedWithSales,168,405.55,2012,2.5,2,16,2
FixedPrice,EndedWithSales,22.2,225,2014,1.4,2,4,1
FixedPrice,EndedWithSales,1185.4,312.8,2012,2.5,2,8,4
Auction,EndedWithSales,120,935,2018,3,4,16,2
StoreInventory,EndedWithSales,34.1,599,2012,2.3,4,16,4
Auction,EndedWithSales,120,460.55,2014,1.4,2,4,1
FixedPrice,EndedWithSales,-12,132.99,2012,2.5,2,4,1
StoreInventory,EndedWithSales,9194.9,999,2012,2.6,4,16,4
StoreInventory,EndedWithSales,14.8,399,2014,2.6,2,8,1
StoreInventory,EndedWithSales,0.7,220,2012,2.5,2,4,1
StoreInventory,EndedWithSales,37.5,440,2014,2.6,2,8,1
StoreInventory,EndedWithSales,1.6,1150,2018,3,4,32,2
StoreInventory,EndedWithSales,13.2,525,2014,3,2,16,2
StoreInventory,EndedWithSales,0.4,220,2012,2.5,2,4,1
StoreInventory,EndedWithSales,18,1150,2018,3,4,32,2
FixedPrice,EndedWithSales,23.7,225,2014,1.4,2,4,1
FixedPrice,EndedWithSales,3,189.99,2014,1.4,2,4,1
Auction,EndedWithSales,168,202.45,2014,1.4,2,4,1
FixedPrice,EndedWithSales,0,169.99,2014,2.5,2,4,1
Auction,EndedWithSales,168,914.6,2018,3,4,16,2
StoreInventory,EndedWithSales,28.4,1599,2018,3.2,4,64,2
StoreInventory,EndedWithSales,121.1,599,2012,2.3,4,16,4
StoreInventory,EndedWithSales,53.5,1150,2018,3,4,32,2
StoreInventory,EndedWithSales,1.3,665,2012,2.6,4,16,2
StoreInventory,EndedWithSales,89.3,665,2012,2.6,4,16,2
StoreInventory,EndedWithSales,711.1,775,2018,3.6,4,16,2
FixedPrice,EndedWithSales,13,360.55,2014,2.6,2,8,1
StoreInventory,EndedWithSales,54.4,301,2014,1.4,2,4,1
StoreInventory,EndedWithSales,31.4,399.95,2014,2.6,2,8,2
Auction,EndedWithSales,168,386,2014,2.6,2,8,2
Auction,EndedWithSales,168,210.45,2014,1.4,2,4,1
FixedPrice,EndedWithSales,0.2,621.5,2018,3.6,4,8,2
FixedPrice,EndedWithSales,9.7,325,2014,2.6,2,8,1
FixedPrice,EndedWithSales,1057.7,267.99,2014,2.5,2,4,1
Auction,EndedWithSales,120,225.5,2014,2.5,2,4,1
FixedPrice,EndedWithSales,0.5,275,2014,2.6,2,8,1
Auction,EndedWithSales,168,625.95,2018,3.6,4,8,2
FixedPrice,EndedWithSales,46.4,1320,2018,3.2,4,32,2
StoreInventory,EndedWithSales,3.5,220,2012,2.5,2,4,1
FixedPrice,EndedWithSales,8.4,312.95,2014,1.4,2,4,3
FixedPrice,EndedWithSales,744.5,273.85,2014,1.4,2,4,1
Auction,EndedWithSales,110.1,250.24,2014,1.4,2,4,2
FixedPrice,EndedWithSales,1.3,225,2014,1.4,2,4,1
StoreInventory,EndedWithSales,32.5,739,2012,2.6,4,16,2
Auction,EndedWithSales,168,829.65,2018,3,4,8,2
FixedPrice,EndedWithSales,14.8,225,2014,1.4,2,4,1
StoreInventory,EndedWithoutSales,2172.9,749,2014,3,2,16,2
StoreInventory,EndedWithSales,18.2,379,2012,2.3,4,8,1
StoreInventory,EndedWithSales,16.7,409,2012,2.3,4,16,1
StoreInventory,EndedWithSales,637.7,369.99,2014,1.4,2,4,4
Auction,EndedWithSales,0,670.5,2018,3,4,8,2
Auction,EndedWithSales,168,222.5,2014,1.4,2,4,1
Auction,EndedWithSales,168,711.3,2018,3,4,8,2
FixedPrice,EndedWithSales,5030.6,221,2014,2.6,2,8,1
FixedPrice,EndedWithSales,46.1,299.99,2014,1.4,2,4,1
Auction,EndedWithSales,27.1,610.2,2018,3.6,4,8,2
FixedPrice,EndedWithSales,1.6,225,2014,1.4,2,4,1
StoreInventory,EndedWithSales,266.9,1799,2018,3.2,4,64,2
Auction,EndedWithSales,167.9,609.2,2018,3.6,4,8,2
Auction,EndedWithSales,72,696.8,2018,3,4,8,2
FixedPrice,EndedWithSales,4.2,1087,2018,3,4,32,2
FixedPrice,EndedWithSales,1.4,225,2014,1.4,2,4,1
StoreInventory,EndedWithSales,0.9,220,2012,2.5,2,4,1
Auction,EndedWithSales,168,305,2012,2.5,2,8,1
FixedPrice,EndedWithSales,20.1,225,2014,1.4,2,4,1
FixedPrice,EndedWithSales,46.2,414.4,2014,2.6,2,8,1
Auction,EndedWithSales,168,313.99,2014,1.4,2,16,1
FixedPrice,EndedWithSales,530.5,264.98,2014,1.4,2,4,1
StoreInventory,EndedWithSales,16.4,1150,2018,3,4,32,2
FixedPrice,EndedWithSales,151.6,415.05,2012,2.3,4,4,1
StoreInventory,EndedWithSales,984,687.27,2012,2.6,4,16,2
Auction,EndedWithSales,7.4,562.95,2018,3.6,4,8,2
StoreInventory,EndedWithSales,1181.8,544.05,2012,2.3,4,16,2
FixedPrice,EndedWithSales,2213.1,400,2012,2.3,4,4,1
Auction,EndedWithSales,168,659.2,2018,3.6,4,8,2
FixedPrice,EndedWithSales,77.6,389.99,2014,2.5,2,4,1
StoreInventory,EndedWithSales,46.4,619.99,2018,3.6,4,8,2
FixedPrice,EndedWithSales,244.6,275,2014,2.5,2,4,1
StoreInventory,EndedWithSales,49.5,311.7,2012,2.5,2,8,1
FixedPrice,EndedWithSales,1.7,499,2012,2.3,4,4,1
StoreInventory,EndedWithoutSales,2855.9,298.98,2014,2.5,2,4,1
